"","name","n"
"1","Andover",1
"2","Ansonia",1
"3","Ashford",1
"4","Avon",1
"5","Berlin",4
"6","Bethel",3
"7","Bloomfield",4
"8","Branford",7
"9","Bridgeport",12
"10","Bristol",11
"11","Brookfield",3
"12","Burlington",1
"13","Canterbury",1
"14","Canton",1
"15","Centerbrook",1
"16","Chaplin",1
"17","Cheshire",3
"18","Clinton",2
"19","Colchester",3
"20","Columbia",1
"21","Cos Cob",1
"22","Coventry",1
"23","Cromwell",4
"24","Danbury",10
"25","Danielson",3
"26","Darien",3
"27","Dayville",1
"28","Deep River",1
"29","Derby",2
"30","Durham",2
"31","East Granby",2
"32","East Hampton",1
"33","East Hartford",3
"34","East Haven",4
"35","East Lyme",1
"36","East Windsor",4
"37","Enfield",6
"38","Fairfield",7
"39","Farmington",4
"40","Gales Ferry",1
"41","Glastonbury",4
"42","Granby",1
"43","Greenwich",4
"44","Griswold",1
"45","Groton",7
"46","Guilford",4
"47","Haddam",1
"48","Hamden",7
"49","Hartford",22
"50","Harwinton",1
"51","Hebron",1
"52","Higganum",1
"53","Killingly",1
"54","Killingworth",1
"55","Ledyard",2
"56","Lisbon",3
"57","Litchfield",1
"58","Madison",1
"59","Manchester",10
"60","Mansfield",1
"61","Marlborough",1
"62","Meriden",7
"63","Middlebury",2
"64","Middletown",4
"65","Milford",9
"66","Milldale",1
"67","Monroe",4
"68","Montville",2
"69","Mystic",3
"70","Naugatuck",5
"71","New Britain",9
"72","New Canaan",1
"73","New Fairfield",1
"74","New Hartford",1
"75","New Haven",22
"76","New London",4
"77","New Milford",4
"78","Newington",7
"79","Newtown",1
"80","Niantic",2
"81","North Branford",1
"82","North Canaan",1
"83","North Franklin",1
"84","North Haven",7
"85","North Stonington",2
"86","North Windham",1
"87","Northford",1
"88","Norwalk",13
"89","Norwich",7
"90","Old Greenwich",1
"91","Old Saybrook",2
"92","Orange",4
"93","Oxford",1
"94","Plainfield",4
"95","Plainville",4
"96","Plantsville",1
"97","Portland",2
"98","Preston",2
"99","Prospect",1
"100","Putnam",3
"101","Ridgefield",4
"102","Rocky Hill",4
"103","Salem",1
"104","Seymour",3
"105","Shelton",6
"106","Simsbury",2
"107","Somers",1
"108","South Windham",1
"109","South Windsor",2
"110","Southbury",3
"111","Southington",6
"112","Southport",1
"113","Stafford Springs",1
"114","Stamford",12
"115","Stonington",1
"116","Storrs Mansfield",2
"117","Stratford",8
"118","Suffield",2
"119","Talcottville",1
"120","Terryville",1
"121","Thomaston",2
"122","Thompson",1
"123","Tolland",1
"124","Torrington",6
"125","Trumbull",4
"126","Uncasville",5
"127","Unionville",1
"128","Vernon",1
"129","Vernon Rockville",3
"130","Voluntown",1
"131","Wallingford",3
"132","Waterbury",17
"133","Waterford",4
"134","Watertown",2
"135","Weatogue",1
"136","West Hartford",11
"137","West Haven",8
"138","West Simsbury",1
"139","Westbrook",2
"140","Westport",3
"141","Wethersfield",4
"142","Willimantic",3
"143","Willington",1
"144","Wilton",1
"145","Windham",1
"146","Windsor",3
"147","Windsor Locks",6
"148","Winsted",1
"149","Wolcott",3
"150","Yalesville",1
