name,real.town.name
YALESVILLE,WALLINGFORD
WOODSTOCK VALLEY,WOODSTOCK
WOODSTOCK,WOODSTOCK
WOODBURY,WOODBURY
WOODBRIDGE,WOODBRIDGE
WOLCOTT,WOLCOTT
WINSTED,WINCHESTER
WINDSORVILLE,EAST WINDSOR
WINDSOR LOCKS,WINDSOR LOCKS
WINDSOR,WINDSOR
WINDHAM CENTER,WINDHAM
WINDHAM,WINDHAM
WINCHESTER,WINCHESTER
WILTON,WILTON
WILLINGTON,WILLINGTON
WILLIMANTIC,WINDHAM
WETHERSFIELD,WETHERSFIELD
WESTPORT,WESTPORT
WESTON,WESTON
WESTBROOK,WESTBROOK
WEST SUFFIELD,SUFFIELD
WEST SIMSBURY,SIMSBURY
WEST MORRIS,LITCHFIELD
WEST HAVEN,WEST HAVEN
WEST HARTLAND,HARTLAND
WEST HARTFORD,WEST HARTFORD
WEATOGUE,SIMSBURY
WAUREGAN,PLAINFIELD
WATERTOWN,WATERTOWN
WATERFORD,WATERFORD
WATERBURY,WATERBURY
WASHINGTON DEPOT,WASHINGTON
WASHINGTON,WASHINGTON
WARREN,WARREN
WAREHOUSE POINT,WINDSORVILLE
WALLINGFORD,WALLINGFORD
VOLUNTOWN,VOLUNTOWN
VERNON ROCKVILLE,VERNON
VERNON,VERNON
UNIONVILLE,FARMINGTON
UNION,UNION
UNCASVILLE,MONTVILLE
TRUMBULL,TRUMBULL
TORRINGTON,TORRINGTON
TOLLAND,TOLLAND
THOMPSON,THOMPSON
THOMASTON,THOMASTON
TERRYVILLE,LITCHFIELD
TARIFFVILLE,SIMSBURY
TALCOTTVILLE,VERNON
TAFTVILLE,NORWICH
SUFFIELD,SUFFIELD
STRATFORD,STRATFORD
STORRS MANSFIELD,MANSFIELD
STORRS,MANSFIELD
STONINGTON,STONINGTON
STEVENSON,MONROE
STERLING,STERLING
STAMFORD,STAMFORD
STAFFORDVILLE,STAFFORD
STAFFORD SPRINGS,STAFFORD
STAFFORD,STAFFORD
SPRAGUE,SPRAGUE
SOUTHPORT,FAIRFIELD
SOUTHINGTON,SOUTHINGTON
SOUTHBURY,SOUTHBURY
SOUTH WINDSOR,SOUTH WINDSOR
SOUTH WINDHAM,WINDHAM
SOUTH GLASTONBURY,GLASTONBURY
SOUTH CANAAN,CANAAN
SOMERS,SOMERS
SIMSBURY,SIMSBURY
SHERMAN,SHERMAN
SHELTON,SHELTON
SHARON,SHARON
SEYMOUR,SEYMOUR
SCOTLAND,SCOTLAND
SANDY HOOK,NEWTOWN
SALISBURY,SALISBURY
SALEM,SALEM
ROXBURY,ROXBURY
ROCKY HILL,ROCKY HILL
ROCKVILLE,VERNON
RIVERTON,BARKHAMSTED
RIVERSIDE,GREENWICH
RIDGEFIELD,RIDGEFIELD
REDDING,REDDING
QUAKER HILL,WATERFORD
PUTNAM HEIGHTS,PUTNAM
PUTNAM,PUTNAM
PROSPECT,PROSPECT
PRESTON,PRESTON
PORTLAND,PORTLAND
POQUONOCK,WINDSOR
POMFRET,POMFRET
PLYMOUTH,PLYMOUTH
PLEASANT VALLEY,BARKHAMSTED
PLANTSVILLE,SOUTHINGTON
PLAINVILLE,PLAINVILLE
PLAINFIELD,PLAINFIELD
PINE MEADOW,NEW HARTFORD
PEQUABUCK,PLYMOUTH
PAWCATUCK,STONINGTON
OXFORD,OXFORD
ORANGE,ORANGE
ONECO,STERLING
OLD SAYBROOK,OLD SAYBROOK
OLD LYME,OLD LYME
OLD GREENWICH,GREENWICH
OAKVILLE,WATERTOWN
OAKDALE,MONTVILLE
NORWICH,NORWICH
NORWALK,NORWALK
NORTHFORD,NORTH HAVEN
NORTHFIELD,LITCHFIELD
NORTH WINDHAM,WINDHAM
NORTH STONINGTON,NORTH STONINGTON
NORTH SOMERS,SOMERS
NORTH HAVEN,NORTH HAVEN
NORTH GROSVENORDALE,THOMPSON
NORTH FRANKLIN,NEW LONDON
NORTH COLEBROOK,COLEBROOK
NORTH CANAAN,NORTH CANAAN
NORTH BRANFORD,NORTH BRANFORD
NORFOLK,NORFOLK
NOANK,GROTON
NIANTIC,EAST LYME
NEWTOWN,NEWTOWN
NEWINGTON,NEWINGTON
NEW PRESTON,WASHINGTON
