town,dunkin.rate,dunkin.donuts
Lisbon,6.9,3
Franklin,5,1
Windsor Locks,4.8,6
Chaplin,4.4,1
Preston,4.2,2
East Granby,3.8,2
Voluntown,3.8,1
North Stonington,3.8,2
Montville,3.6,7
East Windsor,3.5,4
Putnam,3.2,3
North Canaan,3.1,1
Andover,3.1,1
North Haven,2.9,7
Westbrook,2.9,2
Orange,2.9,4
Cromwell,2.8,4
Durham,2.7,2
Middlebury,2.6,2
Plainfield,2.6,4
Thomaston,2.6,2
Branford,2.5,7
Haddam,2.4,2
Salem,2.4,1
Windham,2.4,6
Farmington,2.3,6
Ashford,2.3,1
Killingly,2.3,4
Newington,2.3,7
Plainville,2.2,4
Deep River,2.2,1
Stonington,2.2,4
Portland,2.1,2
Waterford,2.1,4
Monroe,2,4
Rocky Hill,2,4
Ledyard,2,3
Canterbury,2,1
Old Saybrook,2,2
Berlin,1.9,4
Bloomfield,1.9,4
Colchester,1.9,3
Southington,1.8,8
Columbia,1.8,1
Bristol,1.8,11
Seymour,1.8,3
Wolcott,1.8,3
Harwinton,1.8,1
Guilford,1.8,4
Brookfield,1.8,3
Hartford,1.8,22
Groton,1.7,7
Norwich,1.7,7
Manchester,1.7,10
Vernon,1.7,5
Milford,1.7,9
Torrington,1.7,6
Simsbury,1.7,4
Willington,1.7,1
West Haven,1.6,9
New Haven,1.6,21
Ridgefield,1.6,4
East Lyme,1.6,3
West Hartford,1.6,10
Naugatuck,1.6,5
Derby,1.6,2
Bethel,1.6,3
Marlborough,1.6,1
Waterbury,1.6,17
Killingworth,1.5,1
Stratford,1.5,8
Clinton,1.5,2
Southbury,1.5,3
Wethersfield,1.5,4
Essex,1.5,1
Norwalk,1.5,13
Shelton,1.5,6
New Hartford,1.5,1
New London,1.5,4
New Milford,1.4,4
Darien,1.4,3
North Branford,1.4,2
East Haven,1.4,4
Enfield,1.3,6
Fairfield,1.3,8
Suffield,1.3,2
New Britain,1.2,9
Brooklyn,1.2,1
Litchfield,1.2,1
Danbury,1.2,10
Mansfield,1.2,3
Meriden,1.2,7
Glastonbury,1.2,4
Hamden,1.1,7
Westport,1.1,3
Trumbull,1.1,4
Thompson,1.1,1
Burlington,1.1,1
Hebron,1,1
Prospect,1,1
Windsor,1,3
Cheshire,1,3
Canton,1,1
Greenwich,1,6
Stamford,0.9,12
Winchester,0.9,1
Watertown,0.9,2
Wallingford,0.9,4
Somers,0.9,1
Granby,0.9,1
Middletown,0.8,4
Stafford,0.8,1
Griswold,0.8,1
Plymouth,0.8,1
Bridgeport,0.8,12
Coventry,0.8,1
Oxford,0.8,1
East Hampton,0.8,1
South Windsor,0.8,2
New Fairfield,0.7,1
Tolland,0.7,1
East Hartford,0.6,3
Madison,0.5,1
Avon,0.5,1
Wilton,0.5,1
Ansonia,0.5,1
New Canaan,0.5,1
Newtown,0.4,1
