Town,Overdoses
Andover,2
Ansonia,9
Ashford,1
Avon,1
Barkhamsted,1
Berlin,8
Bethany,2
Bethel,9
Bloomfield,2
Bozrah,1
Branford,10
Bridgeport,109
Bristol,49
Brookfield,1
Brooklyn,3
Burlington,1
Canterbury,1
Canton,5
Chaplin,1
Cheshire,4
Chester,2
Clinton,8
Colchester,2
Coventry,7
Cromwell,2
Danbury,57
Darien,2
Deep River,4
Derby,26
Durham,4
East Granby,1
East Haddam,3
East Hampton,5
East Hartford,29
East Haven,10
East Lyme,6
East Windsor,6
Ellington,3
Enfield,31
Essex,6
Fairfield,6
Farmington,9
Franklin,3
Glastonbury,12
Granby,2
Greenwich,14
Griswold,2
Groton,18
Guilford,2
Haddam,1
Hamden,22
Hartford,184
Hartland,1
Harwinton,3
Hebron,3
Killingly,6
Killingworth,2
Lebanon,3
Ledyard,5
Lisbon,2
Madison,3
Manchester,37
Mansfield,4
Marlborough,7
Meriden,47
Middlebury,2
Middletown,44
Milford,30
Monroe,1
Montville,9
Morris,1
NA,3
Naugatuck,12
New Britain,70
New Canaan,1
New Fairfield,3
New Hartford,1
New Haven,148
New London,65
New Milford,21
Newington,4
Newtown,4
North Branford,4
North Canaan,6
North Haven,8
North Stonington,1
Norwalk,24
Norwich,62
Old Lyme,1
Old Saybrook,3
Orange,1
Oxford,3
Plainfield,11
Plainville,8
Plymouth,6
Pomfret,1
Portland,1
Preston,2
Putnam,15
Ridgefield,3
Rocky Hill,5
Salem,2
Salisbury,2
Seymour,3
Sharon,9
Shelton,9
Sherman,2
Simsbury,2
South Windsor,1
Southbury,1
Southington,28
Sprague,4
Stafford,12
Stamford,32
Sterling,2
Stonington,6
Stratford,15
Suffield,2
Thomaston,3
Thompson,3
Tolland,4
Torrington,48
Trumbull,6
Vernon,24
Voluntown,2
Wallingford,16
Washington,1
Waterbury,143
Waterford,3
Watertown,5
West Hartford,6
West Haven,25
Westbrook,4
Westport,1
Wethersifield,9
Willington,1
Wilton,1
Winchester,8
Windham,23
Windsor,10
Windsor Locks,7
Woodbridge,1
Woodbury,2
Woodstock,1
