,name,STORES
1,AMSTON,1
2,ANDOVER,1
3,ANSONIA,7
4,ASHFORD,3
5,AVON,6
6,BALTIC,1
7,BANTAM,1
8,BEACON FALLS,1
9,BERLIN,5
10,BETHANY,1
11,BETHEL,5
12,BETHLEHEM,1
13,BLOOMFIELD,8
14,BOLTON,3
15,BOZRAH,1
16,BRANFORD,13
17,BRIDGEPORT,47
18,BRISTOL,26
19,BROAD BROOK,1
20,BROOKFIELD,6
21,BROOKLYN,3
22,BURLINGTON,3
23,CANAAN,2
24,CANTERBURY,2
25,CANTON,3
26,CENTERBROOK,1
27,CHAPLIN,2
28,CHESHIRE,11
29,CHESTER,3
30,CLINTON,6
31,COLCHESTER,6
32,COLLINSVILLE,1
33,COLUMBIA,2
34,CORNWALL BRIDGE,1
35,COS COB,1
36,COVENTRY,4
37,CROMWELL,6
38,DANBURY,32
39,DANIELSON,3
40,DARIEN,8
41,DAYVILLE,4
42,DEEP RIVER,1
43,DERBY,5
44,DURHAM,2
45,EAST BERLIN,1
46,EAST CANAAN,1
47,EAST GRANBY,2
48,EAST HADDAM,1
49,EAST HAMPTON,5
50,EAST HARTFORD,21
51,EAST HAVEN,11
52,EAST LYME,2
53,EAST NORWALK,1
54,EAST WINDSOR,5
55,ELLINGTON,8
56,ENFIELD,17
57,ESSEX,2
58,FAIRFIELD,19
59,FALLS VILLAGE,1
60,FARMINGTON,9
61,FRANKLIN,1
62,GALES FERRY,2
63,GAYLORDSVILLE,1
64,GLASTONBURY,9
65,GOSHEN,1
66,GRANBY,5
67,GREENWICH,16
68,GRISWOLD,3
69,GROTON,13
70,GUILFORD,9
71,HADDAM,1
72,HAMDEN,23
73,HARTFORD,49
74,HARWINTON,2
75,HEBRON,2
76,HIGGANUM,3
77,JEWETT CITY,1
78,KENSINGTON,2
79,KENT,1
80,KILLINGWORTH,2
81,LAKEVILLE,1
82,LEBANON,1
83,LEDYARD,2
84,LISBON,1
85,LITCHFIELD,4
86,MADISON,7
87,MANCHESTER,23
88,MANSFIELD,2
89,MANSFIELD CENTER,1
90,MARLBOROUGH,2
91,MERIDEN,27
92,MIDDLEBURY,3
93,MIDDLEFIELD,2
94,MIDDLETOWN,13
95,MILFORD,21
96,MILLDALE,3
97,MONROE,6
98,MONTVILLE,2
99,MOODUS,1
100,MOOSUP,1
101,MORRIS,2
102,MYSTIC,4
103,NAUGATUCK,11
104,NEW BRITAIN,29
105,NEW CANAAN,5
106,NEW FAIRFIELD,5
107,NEW HARTFORD,3
108,NEW HAVEN,54
109,NEW LONDON,13
110,NEW MILFORD,11
111,NEW PRESTON,1
112,NEWINGTON,13
113,NEWTOWN,10
114,NIANTIC,5
115,NOANK,1
116,NORFOLK,1
117,NORTH BRANFORD,4
118,NORTH GROSVENORDALE,2
119,NORTH HAVEN,11
120,NORTH STONINGTON,2
121,NORTH WINDHAM,1
122,NORTHFORD,2
123,NORWALK,31
124,NORWICH,17
125,OAKDALE,2
126,OAKVILLE,3
127,OLD GREENWICH,4
128,OLD LYME,4
129,OLD SAYBROOK,6
130,ORANGE,5
131,OXFORD,3
132,PAWCATUCK,3
133,PEQUABUCK,2
134,PINE MEADOW,1
135,PLAINFIELD,4
136,PLAINVILLE,7
137,PLANTSVILLE,3
138,POMFRET,1
139,PORTLAND,3
140,PRESTON,2
141,PROSPECT,3
142,PUTNAM,5
143,QUAKER HILL,1
144,REDDING,2
145,RIDGEFIELD,9
146,RIVERSIDE,3
147,ROCKY HILL,6
148,SALEM,2
149,SALISBURY,1
150,SANDY HOOK,1
151,SEYMOUR,6
152,SHARON,2
153,SHELTON,13
154,SHERMAN,1
155,SIMSBURY,5
156,SOMERS,3
157,SOUTH GLASTONBURY,2
158,SOUTH WINDHAM,2
159,SOUTH WINDSOR,9
160,SOUTHBURY,7
161,SOUTHINGTON,13
162,SOUTHPORT,1
163,STAFFORD SPRINGS,4
164,STAMFORD,31
165,STERLING,1
166,STEVENSON,1
167,STONINGTON,1
168,STORRS,4
169,STORRS MANSFIELD,1
170,STRATFORD,18
171,SUFFIELD,3
172,TAFTVILLE,1
173,TARIFFVILLE,1
174,TERRYVILLE,5
175,THOMASTON,4
176,THOMPSON,1
177,TOLLAND,6
178,TORRINGTON,14
179,TRUMBULL,7
180,UNCASVILLE,4
181,UNIONVILLE,1
182,VERNON,8
183,VERNON ROCKVILLE,1
184,VOLUNTOWN,1
185,WALLINGFORD,17
186,WARREN,1
187,WASHINGTON DEPOT,1
188,WATERBURY,50
189,WATERFORD,7
190,WATERTOWN,7
191,WAUREGAN,1
192,WEST HARTFORD,24
193,WEST HAVEN,22
194,WEST SUFFIELD,2
195,WESTBROOK,3
196,WESTON,1
197,WESTPORT,13
198,WETHERSFIELD,10
199,WILLIMANTIC,7
200,WILLINGTON,2
201,WILTON,4
202,WINDSOR,10
203,WINDSOR LOCKS,7
204,WINSTED,4
205,WOLCOTT,7
206,WOODBURY,3
